25.4900  104.6420    8.00   3.00 0.0 0.0 0.0    233915
25.4110  104.5990    9.00   2.70 0.0 0.0 0.0    239866
25.4780  104.5850    7.00   2.60 0.0 0.0 0.0    241818
25.4900  104.6010    6.00   2.60 0.0 0.0 0.0    243059
25.7890  104.1170    9.00   2.70 0.0 0.0 0.0    243224
25.4640  104.6820    6.00   3.20 0.0 0.0 0.0    264748
25.1530  104.2520   19.00   3.60 0.0 0.0 0.0    526861
25.5500  105.7200    7.00   3.80 0.0 0.0 0.0    247098
25.5100  105.7500    7.00   4.30 0.0 0.0 0.0    271613
25.5000  105.7560    5.00   3.90 0.0 0.0 0.0    300771
25.5050  105.7500    5.00   2.40 0.0 0.0 0.0    343838
25.5270  105.7420    5.00   3.10 0.0 0.0 0.0    352083
25.6950  105.2710   10.00   2.40 0.0 0.0 0.0    504146
25.4870  105.7700   16.00   2.50 0.0 0.0 0.0    519091
25.1510  106.7900    8.00   3.50 0.0 0.0 0.0    206498
25.4150  106.7200    7.00   2.80 0.0 0.0 0.0    207103
25.6100  106.8900    9.00   4.10 0.0 0.0 0.0    211309
25.2000  106.7300    7.00   4.30 0.0 0.0 0.0    270540
25.8650  106.3110    4.00   1.80 0.0 0.0 0.0    277107
25.6900  106.4490    8.00   2.40 0.0 0.0 0.0    279543
25.1910  106.0920    5.00   2.00 0.0 0.0 0.0    283054
25.2390  106.0900    6.00   1.80 0.0 0.0 0.0    286528
25.1180  106.0950    7.00   1.70 0.0 0.0 0.0    287991
25.6800  106.4610    9.00   3.50 0.0 0.0 0.0    288563
25.2150  106.0820    5.00   1.70 0.0 0.0 0.0    288783
25.7170  106.4050    7.00   3.20 0.0 0.0 0.0    303457
25.3270  106.8370    9.00   2.30 0.0 0.0 0.0    336037
25.2390  106.7030   10.00   2.20 0.0 0.0 0.0    526430
25.4950  106.5070   21.00   2.30 0.0 0.0 0.0    533854
26.4780   96.1720    9.00   2.60 0.0 0.0 0.0    202211
26.8190   96.9780    8.00   3.70 0.0 0.0 0.0    202229
26.3100   96.8880    8.00   2.80 0.0 0.0 0.0    322763
26.1280   96.9670    5.00   2.70 0.0 0.0 0.0    491460
26.4200   96.7460    2.00   3.00 0.0 0.0 0.0    514773
26.4050   96.8350    5.00   2.50 0.0 0.0 0.0    540522
26.1180   96.9800    6.00   2.70 0.0 0.0 0.0    570998
26.9160   97.5600    6.00   3.00 0.0 0.0 0.0    236686
26.2990   97.0490    7.00   3.30 0.0 0.0 0.0    328893
26.5490   97.4490   10.00   2.50 0.0 0.0 0.0    391610
26.1130   97.7700    7.00   2.90 0.0 0.0 0.0    406705
26.5410   97.1950   10.00   3.00 0.0 0.0 0.0    473474
26.6700   97.8390    5.00   2.00 0.0 0.0 0.0    530337
26.1400   97.0120    8.00   2.90 0.0 0.0 0.0    532617
26.2300   97.1230   29.00   2.30 0.0 0.0 0.0    536317
26.9530   98.0070    5.00   2.80 0.0 0.0 0.0    255230
26.0440   98.8100    5.00   2.20 0.0 0.0 0.0    301444
26.1530   98.3190    7.00   2.60 0.0 0.0 0.0    306292
26.1610   98.5020    7.00   2.20 0.0 0.0 0.0    319034
26.0240   98.9650    6.00   2.60 0.0 0.0 0.0    329055
26.0310   98.7950    5.00   2.20 0.0 0.0 0.0    534267
26.3000   99.7600    5.00   4.60 0.0 0.0 0.0    245993
26.1660   99.9320    6.00   3.50 0.0 0.0 0.0    337240
26.0660   99.5900    9.00   3.60 0.0 0.0 0.0    504057
26.0890   99.5810   11.00   3.40 0.0 0.0 0.0    504282
26.0950   99.5740    8.00   3.20 0.0 0.0 0.0    512864
26.0820   99.5840   17.00   5.10 0.0 0.0 0.0    512947
26.1170   99.5950    8.00   4.30 0.0 0.0 0.0    518457
26.1040   99.5910   10.00   3.80 0.0 0.0 0.0    525288
26.2230   99.4910   18.00   3.60 0.0 0.0 0.0    540021
26.2940  100.0050    5.00   3.50 0.0 0.0 0.0    310356
26.1680  100.5850   14.00   3.80 0.0 0.0 0.0    401850
26.1700  100.5700   14.00   4.20 0.0 0.0 0.0    401908
26.1590  100.5330   22.00   2.70 0.0 0.0 0.0    513496
26.9890  100.7790   22.00   3.20 0.0 0.0 0.0    554289
26.1540  100.5730   21.00   3.50 0.0 0.0 0.0    576670
26.2290  101.2170    6.00   2.40 0.0 0.0 0.0    256784
26.9900  101.2200   20.00   2.60 0.0 0.0 0.0    315617
26.3350  101.3350   10.00   2.90 0.0 0.0 0.0    340186
26.8600  101.1700   33.00   4.50 0.0 0.0 0.0    392141
26.8520  101.1690   12.00   2.80 0.0 0.0 0.0    394402
26.3540  101.3410   15.00   2.40 0.0 0.0 0.0    491327
26.7340  101.0560   24.00   3.10 0.0 0.0 0.0    544106
26.1820  101.2830   15.00   2.70 0.0 0.0 0.0    554364
26.6600  102.9400   12.00   4.50 0.0 0.0 0.0    287536
26.6400  102.9400   12.00   3.90 0.0 0.0 0.0    289100
26.6600  102.9700    7.00   3.70 0.0 0.0 0.0    289111
26.9000  102.3400   18.00   3.10 0.0 0.0 0.0    310314
26.4900  102.5200   13.00   4.20 0.0 0.0 0.0    330033
