#  Velocities of campaign stations with respective to EURASIA plate from 2009-2014
#  Lon.— Longitude in angle degree
#  Lat.— Latitude in angle degree
#  Ve  — Velocity(mm/a) in east component
#  Vn  — Velocity(mm/a) in north component
#  sVe — Velocity error(mm/a) in east component
#  sVn — Velocity error(mm/a) in north component
#  cor - Correlation between eastward and northward components
#  Site— station code
#  Lon.     Lat.    Ve     Vn       sVe     sVn  cor   Site
   119.1    39.6    6.97   -2.37    0.18    0.22  0  A360
   117.2    39.6    4.34    0.24    0.20    0.22  0  A361
   116.5    39.6    5.54   -1.13    0.36    0.23  0  A362
   117.2    39.5    5.78   -4.20    0.60    0.33  0  A363
   114.9    39.4    5.17   -1.39    0.25    0.20  0  A364
   117.9    39.5    4.65   -1.68    0.20    0.18  0  A365
   117.1    39.5    6.20    2.29    0.39    0.31  0  A366
   117.7    39.5    5.30   -2.04    0.22    0.18  0  A367
   113.0    39.4    4.70   -0.36    0.35    0.26  0  A368
   115.7    39.4    5.38   -0.67    0.25    0.28  0  A369
   119.1    39.4    6.16   -2.86    0.23    0.44  0  A370
   116.9    39.3    5.61    1.21    0.84    0.30  0  A372
   113.4    39.3    5.45   -1.48    0.20    0.21  0  A373
   116.1    39.3    7.23   -2.72    0.32    0.25  0  A374
   117.3    39.3    6.48   -1.71    0.31    0.20  0  A375
   112.2    39.3    4.95   -1.09    0.28    0.23  0  A376
   115.1    39.2    5.60   -0.87    0.36    0.22  0  A377
   117.6    39.2    6.64   -0.04    0.83    0.39  0  A378
   115.5    39.2    6.23   -1.56    0.27    0.40  0  A380
   114.2    39.1    5.03   -2.05    0.32    0.30  0  A381
   117.5    39.0    3.05   -1.42    0.97    0.99  0  A383
   116.1    38.9    4.77   -0.26    0.23    0.26  0  A384
   117.3    38.8    4.94    1.89    0.20    0.22  0  A385
   113.0    38.7    6.17   -2.00    0.33    0.36  0  A386
   115.2    38.7    6.21   -1.13    0.31    0.18  0  A387
   117.5    38.6    6.74   -3.05    0.14    0.13  0  A388
   116.4    38.6    3.73   -2.90    0.63    0.69  0  A389
   113.7    38.5    5.15   -1.55    0.16    0.24  0  A390
   117.0    38.5    5.39   -1.27    0.23    0.33  0  A391
   115.7    38.4    7.67   -1.23    0.41    0.37  0  A392
   114.1    40.2    5.34   -1.77    0.19    0.16  0  AB01
   115.1    40.4    5.32   -1.51    0.30    0.32  0  AB02
   116.6    40.1    2.22    2.01    1.31    1.43  0  AB03
   116.6    38.7    4.64   -1.48    0.28    0.37  0  AB05
   119.1    40.8    4.71   -0.82    0.39    0.25  0  AB06
   117.6    39.1    5.40   -1.01    1.16    0.43  0  AB07
   118.6    39.5    4.45   -2.48    0.33    0.32  0  AB08
   114.7    41.2    4.11   -1.14    0.51    0.38  0  AB09
   120.7    37.9    6.70    0.07    0.40    0.24  0  B001
   120.8    37.8    6.70   -0.33    0.73    0.18  0  B002
   120.5    37.6    3.86   -1.70    0.66    0.14  0  B003
   121.3    37.5    7.30   -0.33    0.59    0.36  0  B004
   122.4    37.2    7.64   -0.85    0.44    0.34  0  B005
